GEOID,NAME,variable,estimate,moe
53013,"Columbia County, Washington",edu_hs,445,116.7659574468085
53013,"Columbia County, Washington",edu_ged,169,106.04255319148936
53015,"Cowlitz County, Washington",pop,109457,NA
53015,"Cowlitz County, Washington",pop_white,94877,942.4680851063829
53015,"Cowlitz County, Washington",pop_black,983,315.74468085106383
53015,"Cowlitz County, Washington",pop_native,1639,644.595744680851
53015,"Cowlitz County, Washington",pop_asian,1334,235.91489361702128
53015,"Cowlitz County, Washington",pop_latinx,10440,NA
53015,"Cowlitz County, Washington",edu_total,76176,265.70212765957444
53015,"Cowlitz County, Washington",edu_8th,618,215.65957446808508
53015,"Cowlitz County, Washington",edu_9th,816,308.59574468085106
53015,"Cowlitz County, Washington",edu_10th,1348,414.6382978723404
53015,"Cowlitz County, Washington",edu_11th,1561,463.4893617021276
53015,"Cowlitz County, Washington",edu_12th,1470,343.1489361702128
53015,"Cowlitz County, Washington",edu_hs,18514,1141.4468085106382
53015,"Cowlitz County, Washington",edu_ged,5121,733.9574468085106
53017,"Douglas County, Washington",pop,42622,NA
53017,"Douglas County, Washington",pop_white,28246,486.12765957446805
53017,"Douglas County, Washington",pop_black,233,70.29787234042553
53017,"Douglas County, Washington",pop_native,451,226.38297872340425
53017,"Douglas County, Washington",pop_asian,295,129.87234042553192
53017,"Douglas County, Washington",pop_latinx,13888,NA
53017,"Douglas County, Washington",edu_total,28156,90.5531914893617
53017,"Douglas County, Washington",edu_8th,372,176.3404255319149
53017,"Douglas County, Washington",edu_9th,610,197.7872340425532
53017,"Douglas County, Washington",edu_10th,378,137.02127659574467
53017,"Douglas County, Washington",edu_11th,531,187.06382978723403
53017,"Douglas County, Washington",edu_12th,689,221.61702127659572
53017,"Douglas County, Washington",edu_hs,6708,623.1489361702128
53017,"Douglas County, Washington",edu_ged,1593,358.6382978723404
53019,"Ferry County, Washington",pop,7198,NA
53019,"Ferry County, Washington",pop_white,5249,59.57446808510638
53019,"Ferry County, Washington",pop_black,21,20.25531914893617
53019,"Ferry County, Washington",pop_native,1136,139.40425531914892
53019,"Ferry County, Washington",pop_asian,14,23.829787234042552
53019,"Ferry County, Washington",pop_latinx,90,54.80851063829787
53019,"Ferry County, Washington",edu_total,5487,150.12765957446808
53019,"Ferry County, Washington",edu_8th,59,65.53191489361701
53019,"Ferry County, Washington",edu_9th,18,23.829787234042552
53019,"Ferry County, Washington",edu_10th,135,71.48936170212765
53019,"Ferry County, Washington",edu_11th,107,59.57446808510638
53019,"Ferry County, Washington",edu_12th,146,77.44680851063829
53019,"Ferry County, Washington",edu_hs,1528,289.531914893617
53019,"Ferry County, Washington",edu_ged,310,106.04255319148936
53021,"Franklin County, Washington",pop,95313,NA
53021,"Franklin County, Washington",pop_white,58985,2452.0851063829787
53021,"Franklin County, Washington",pop_black,2387,421.78723404255317
53021,"Franklin County, Washington",pop_native,1334,611.2340425531914
53021,"Franklin County, Washington",pop_asian,1902,446.80851063829783
53021,"Franklin County, Washington",pop_latinx,51098,NA
53021,"Franklin County, Washington",edu_total,55250,262.12765957446805
53021,"Franklin County, Washington",edu_8th,1287,411.063829787234
53021,"Franklin County, Washington",edu_9th,1319,366.9787234042553
53021,"Franklin County, Washington",edu_10th,1170,371.74468085106383
53021,"Franklin County, Washington",edu_11th,1303,470.6382978723404
53021,"Franklin County, Washington",edu_12th,1414,431.31914893617017
53021,"Franklin County, Washington",edu_hs,10203,1079.4893617021276
53021,"Franklin County, Washington",edu_ged,3738,786.3829787234042
53023,"Garfield County, Washington",pop,2278,NA
53023,"Garfield County, Washington",pop_white,2119,82.2127659574468
53023,"Garfield County, Washington",pop_black,0,15.48936170212766
53023,"Garfield County, Washington",pop_native,0,15.48936170212766
53023,"Garfield County, Washington",pop_asian,58,60.76595744680851
53023,"Garfield County, Washington",pop_latinx,46,67.91489361702128
53023,"Garfield County, Washington",edu_total,1664,92.93617021276596
53023,"Garfield County, Washington",edu_8th,17,25.02127659574468
53023,"Garfield County, Washington",edu_9th,15,17.872340425531913
53023,"Garfield County, Washington",edu_10th,33,33.36170212765957
